ds,yhat,yhat_lower,yhat_upper
2023-10-01,90.80434446945866,86.99452033888636,94.62887708887556
2023-11-01,84.39824854880855,80.78092250822473,87.99397716875306
2023-12-01,75.57332119720728,72.18693890755394,79.02378652521207
2024-01-01,89.66046976753199,86.02886959163645,93.18063644378832
2024-02-01,82.01734739613616,78.68112998261577,85.60081085764476
2024-03-01,78.43701609803085,74.83207887240867,81.94712062134478
2024-04-01,69.39292407339065,65.77672886034101,73.18534743652025
2024-05-01,68.32487941212985,64.83981686492774,72.02638411100828
2024-06-01,76.57948238766835,72.85689605209366,80.27962662368164
2024-07-01,70.99239802802012,67.28895317047925,74.80493968060435
2024-08-01,74.38809696023309,70.70672745336518,78.07319670015973
2024-09-01,83.14743779386428,79.53775129179226,86.81005794745863
2024-10-01,78.97970757073429,75.35030379499977,82.61093050008212
2024-11-01,91.1826114413385,87.5410609950364,94.57253283201182
2024-12-01,82.1083599337434,78.1821796247482,85.57265853770676
2025-01-01,85.42308879736945,81.98999265056487,89.0377942038168
2025-02-01,70.06281342284421,66.40767804838313,73.69787752783445
2025-03-01,68.27994285469839,64.44763497611683,72.06954828552355
2025-04-01,90.72039726625974,86.97199510112512,94.25484452576832
2025-05-01,79.19628456419015,75.48911108954776,82.99572692073647
2025-06-01,99.9396713055193,96.30358116090362,103.45865340043675
2025-07-01,82.1195094442693,78.71372385711501,85.69824525244792
2025-08-01,88.51733673483841,84.92578309563764,91.96807713800662
2025-09-01,90.25185271987807,86.67727225854686,93.73439027648156
2025-09-30,125.25063138545286,121.63377318253933,128.73105384926885
2025-10-31,107.34152859548216,103.79636109341556,110.84853723195786
2025-11-30,100.54209966588144,96.82964282473888,104.16249571001224
2025-12-31,123.1366972784289,119.51334928721226,126.91210182619268
2026-01-31,120.79786103875725,117.09155515051235,124.29393404104766
2026-02-28,-16.587635131416704,-20.340065631129796,-12.899374138817622
2026-03-31,160.79744826241526,156.9110984979047,164.78737805935617
2026-04-30,88.87843458965396,85.05842186216188,92.26299371709743
2026-05-31,164.90736385509405,160.77289810838911,168.61579323455152
2026-06-30,79.31030913644172,75.30262732932275,83.40788999967309
2026-07-31,97.08802099875871,92.9109423191929,100.87561848871565
2026-08-31,61.98469175379992,57.88412844976824,66.0602709418705
